run;Drift;Extraction;Amplification;Induction
741;313;1000;25000;1000
743;321;1100;26000;1000
744;330;1200;26000;1000
745;339;1200;27000;1000
747;347;1300;28000;1000
765;310;900;28000;1500
766;310;900;29000;1000
767;309.5;950;29000;1000
768;309.5;900;29500;1000
769;310;1000;28000;1000
770;310;1000;28000;1000
774;358;1200;28000;1000
775;158;1200;28000;1000
776;358;1200;28000;1000
778;358;1200;28000;1000
779;357;1300;28000;1000
780;356;1400;28000;1000
781;356;1400;28000;1000
782;355;1500;28000;1000
783;457;1300;28000;1000
784;456;1400;28000;1000
785;455;1500;28000;1000
786;454;1600;28000;1000
787;453;1700;28000;1000
788;452;1800;28000;1000
789;511;1900;28000;1000
790;510;2000;28000;1000
791;509;2100;28000;1000
792;508;2200;28000;1000
793;507;2300;28000;1000
794;506;2400;28000;1000
795;505;2500;28000;1000
796;504;2600;28000;1000
797;514;1600;28000;1000
798;513;1700;28000;1000
799;512;1800;28000;1000
800;511;1900;28000;1000
801;510;2000;28000;1000
802;509;2100;28000;1000
803;508;2200;28000;1000
804;507;2300;28000;1000
805;507;2300;28000;1000
806;507;2300;28000;1000
807;507;2300;28000;1000
833;523;1600;28000;1500
834;522;1700;28000;1500
835;521;1800;28000;1500
836;520;1900;28000;1500
837;519;2000;28000;1500
838;619;2000;28000;1500
840;510;1900;28000;1500
841;510;1900;28000;1500
842;510;1900;28000;1500
843;510;1900;28000;1500
